[judge_step1] cached
[judge_step2] cached
[judge_step3] exit=0 em=0.8171
[judge_step4] exit=0 em=0.8221
[judge_step5] exit=0 em=0.8114
[judge_step6] exit=0 em=0.8157
[judge_step7] exit=0 em=0.8114
[judge_step8] exit=0 em=0.8086
[judge_step9] exit=0 em=0.8093
[judge_step10] exit=0 em=0.8121
[rollout_step1] exit=0 em=0.8086
[rollout_step2] exit=0 em=0.8186
[rollout_step3] exit=0 em=0.8007
[rollout_step4] exit=0 em=0.8100
[rollout_step5] exit=0 em=0.7957
[rollout_step6] exit=0 em=0.8143
[rollout_step7] exit=0 em=0.8093
[rollout_step8] exit=0 em=0.8143
[rollout_step9] exit=0 em=0.8071
[rollout_step10] exit=0 em=0.8214
[greedy_step1] exit=0 em=0.8129
[greedy_step2] exit=0 em=0.8193
[greedy_step3] exit=0 em=0.7993
[greedy_step4] exit=0 em=0.8086
[greedy_step5] exit=0 em=0.8029
[greedy_step6] exit=0 em=0.8100
[greedy_step7] exit=0 em=0.8079
[greedy_step8] exit=0 em=0.8164
[greedy_step9] exit=0 em=0.8086
[greedy_step10] exit=0 em=0.8114
=== all candidate evaluations finished at 03:11:44 ===
